"","Name","Course","Hole","Par","Score","Gender"
"104","Player 11","Longue Vue Club","Total",70,76,"Male"
"105","Player 4","Longue Vue Club","Total",70,71,"Male"
"106","Player 4","Columbus Country Club","Total",72,73,"Male"
"107","Player 11","Longue Vue Club","Total",70,76,"Male"
"108","Player 10","Longue Vue Club","Total",70,77,"Male"
"109","Player 3","Fox Chapel","Total",70,70,"Male"
"110","Player 10","Longue Vue Club","Total",70,76,"Male"
"111","Player 1","Longue Vue Club","Total",70,82,"Male"
"112","Player 1","Longue Vue Club","Total",70,81,"Male"
"113","Player 10","Longue Vue Club","Total",70,80,"Male"
"114","Player 11","San Destin Resort - Raven","Total",71,70,"Male"
"115","Player 3","San Destin Resort - Raven","Total",71,69,"Male"
"116","Player 4","San Destin Resort - Raven","Total",71,73,"Male"
"117","Player 6","San Destin Resort - Raven","Total",71,79,"Male"
"118","Player 3","San Destin Resort - Raven","Total",71,66,"Male"
"119","Player 11","San Destin Resort - Raven","Total",71,76,"Male"
"120","Player 6","San Destin Resort - Raven","Total",71,73,"Male"
"121","Player 12","San Destin Resort - Raven","Total",71,75,"Male"
"122","Player 12","San Destin Resort - Raven","Total",71,72,"Male"
"123","Player 11","San Destin Resort - Raven","Total",71,74,"Male"
"124","Player 6","San Destin Resort - Raven","Total",71,76,"Male"
"125","Player 11","Longue Vue Club","Total",70,75,"Male"
"126","Player 11","Longue Vue Club","Total",70,71,"Male"
"127","Player 3","San Destin Resort - Raven","Total",71,71,"Male"
"128","Player 3","Longue Vue Club","Total",70,73,"Male"
"129","Player 8","Pittsburgh Field Club","Total",71,70,"Male"
"130","Player 8","Longue Vue Club","Total",70,79,"Male"
"131","Player 8","Longue Vue Club","Total",70,71,"Male"
"132","Player 8","Longue Vue Club","Total",70,83,"Male"
"133","Player 8","Longue Vue Club","Total",70,74,"Male"
"134","Player 8","Longue Vue Club","Total",70,75,"Male"
"135","Player 8","Longue Vue Club","Total",70,73,"Male"
"136","Player 3","Sedgefield Country Club - Dye Course","Total",71,75,"Male"
"137","Player 11","Sedgefield Country Club - Dye Course","Total",71,73,"Male"
